?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,CAUDETE,CAUDETE,2660,"CR N-344 DIRC.VALENCIA, KM.  118.3",N,-943,38.727472,2025-04-29 09:22:00,1569,,,1779,,1439,1529,,,,,,,,,BP PARGA I PETROL BAS BEL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,CAUDETE,CAUDETE,2660,"AVENIDA VALENCIA DE, 16",N,-0.982111,38.708944,2025-05-01 10:12:00,1589,,,1739,,1489,1579,,,,,,,,,GALP,P,dm,L-D: 06:00-22:00,Sin datos,,,,,,
ALBACETE,CAUDETE,CAUDETE,2660,CARRETERA D-12 ESTACION KM. 32,D,-0.971639,38.711694,2025-04-28 10:36:00,1499,,,,,1369,,1049,,,,,,,,VILA Y FAYOS,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,CENIZATE,CENIZATE,2247,"CALLE VIRGEN DE LAS NIEVES, 17",D,-1.664167,39301,2025-04-30 18:48:00,1363,,,,,1308,,878,,,,,,,,VIRGEN DE LAS NIEVES,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,2520,AUTOVIA A-31 KM. 86,D,-1758,38.937583,2025-05-01 00:00:00,1489,,,1639,,1419,1509,,,,,959,,,,REPSOL,P,OM,L-D: 06:00-22:00,Sin datos,,,,,,
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,2520,AUTOVIA A-31 KM. 86,I,-1.757611,38.938611,2025-05-01 00:00:00,1489,,,,,1419,1509,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,Sin datos,,,,,,
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,2520,"Ctra. AB-430 KM 530,3",I,-1.726278,38.915972,2025-05-01 00:00:00,1479,,,1589,,1429,1479,,,,,,,,,REPSOL,P,OM,L: 06:00-22:00,L: 06:00-22:00 (A),,,,,,
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,POZO BUENO,2510,CL AVENIDA GENERALISIMO 107 (N-301 km 276),I,-1.731861,38.803389,2025-05-01 00:00:00,1499,,1559,,,1449,,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,VILLAR DE CHINCHILLA,2695,AUTOVIA A31 KM. 111,N,-1.502806,38.898306,2025-04-28 06:00:00,1559,,,1699,,1479,1579,,,,,,,,,CEPSA,P,dm,L-V: 06:00-22:00, S-D: 07:00-22:00,Sin datos,,,,,
ALBACETE,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,2430,"CL BOLEA, 36 (CM-412 km 235,65)",D,-2.044778,38.451306,2025-05-01 00:00:00,1509,,,1639,,1439,,1.11,,,,,,,,CAMPSA,P,OM,L: 06:00-22:00,L: 06:00-22:00 (A),,,,,,
ALBACETE,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,2430,"POLIGONO EL CAMPILLO A, 2",D,-2.017917,38.460694,2025-04-28 09:07:00,1.44,,,,,1379,,,,,,,,,,DLP,P,dm,L-V: 08:00-21:00, S: 08:00-14:00,L-V: 08:00-21:00 (P), S: 08:00-14:00 (P),,,,
ALBACETE,FUENTE-ÁLAMO,FUENTE-ALAMO,2651,"AVDA. DOCTOR PEREZ GIL, 25",N,-1.433306,38.689833,2025-04-29 16:02:00,1659,,,1.82,,1499,,1099,,,,,,,,Nº 7374,P,dm,L: 07:00-21:00,Sin datos,,,,,,
